Model,Accuracy,F1,ROC_AUC
LogisticRegression,0.9484848484848485,0.8666666666666666,0.9677777777777777
RandomForest,0.9318181818181819,0.8476190476190476,1.0
XGBoost,0.9469696969696969,0.8533333333333333,1.0
