feature,importance
mean_COM,0.4927177
interchain_residue_pair_contacts,0.17893086
hotspot_any_contact_pairs,0.114802875
hotspot_hotspot_contact_pairs,0.09340594
hotspot_sasa_nm2,0.031523112
mean_HB,0.029232321
Rg_nm,0.023066401
Hydrophobic_SASA_nm2,0.013576512
Total_SASA_nm2,0.012810583
water_hotspot_count,0.009933764
mean_CP,0.0
ethanol_hotspot_count,0.0
water_ethanol_ratio,0.0
interface_residue_count,0.0
salt_bridge_count,0.0
